"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"YR_1_1",107069,100809,97904,98074,86913,80393
"YR_1_10",151862,143125,139829,139765,123773,117482
"YR_1_11",147315,138904,136179,136003,121566,118707
"YR_1_12",88398,83137,81290,80989,71071,70086
"YR_1_13",87155,82139,79717,79337,66411,65155
"YR_1_14",159977,149815,145902,145498,120611,90193
"YR_1_15",180465,166724,161876,161210,131717,109214
"YR_1_16",168140,157103,152494,152372,126951,109583
"YR_1_17",166543,156050,150171,150455,122929,87913
"YR_1_2",95524,90215,87429,87508,76359,72157
"YR_1_3",99401,93795,90484,90800,77296,70307
"YR_1_4",113850,106985,104843,104760,94800,93519
"YR_1_5",155622,146767,143441,143625,127935,118275
"YR_1_6",207964,195376,191227,191154,171805,162830
"YR_1_7",97051,91814,89041,89096,75723,70580
"YR_1_8",147078,138916,135633,135472,119464,110380
"YR_1_9",151318,142347,139663,139272,122713,115390
"YR_2_1",228171,213811,204274,205294,158025,123269
"YR_2_10",227280,212398,205964,205579,163251,120691
"YR_2_11",238081,222265,212095,212085,158437,116534
"YR_2_12",109039,102798,100338,100298,87799,85444
"YR_2_13",255396,239742,233559,233718,204684,185527
"YR_2_14",1,0,211410,211713,166284,123805
"YR_2_15",13,0,229073,228887,195272,177219
"YR_2_16",129,24,98786,98958,79026,66619
"YR_2_2",235788,220166,114606,114541,100441,93527
"YR_2_3",249521,234481,98203,98356,85403,80074
"YR_2_4",109694,102915,71964,71695,56886,53156
"YR_2_5",126183,117364,132209,132258,113662,109224
"YR_2_6",107762,100949,222270,222506,191874,154964
"YR_2_7",78941,73885,288154,288132,246208,216354
"YR_2_8",144316,135264,280370,281173,227627,174082
"YR_2_9",243615,228066,266623,267377,218170,165969
"YR_3_1",321041,294178,298315,297580,251409,239731
"YR_3_10",315135,289327,295542,295260,230987,216849
"YR_3_11",295939,274497,293629,296184,186326,162090
"YR_3_12",335481,308194,286159,286627,199562,181829
"YR_3_13",338463,308556,271386,271195,157133,140552
"YR_3_14",345152,316674,248225,249115,199406,163350
"YR_3_15",331365,303559,300960,300541,227736,185234
"YR_3_16",326137,297164,127515,127492,106452,95169
"YR_3_2",279949,256450,229570,228977,184501,158958
"YR_3_3",347663,313156,101026,100942,82614,78195
"YR_3_4",143369,131585,212836,213351,151762,123685
"YR_3_5",259549,236578,159390,159311,139260,125118
"YR_3_6",113698,104106,261567,261497,228064,200033
"YR_3_7",238539,219082,97904,98074,86913,80393
"YR_3_8",178531,163597,139829,139765,123773,117482
"YR_3_9",291042,267406,136179,136003,121566,118707
