"","phylumpro","variable","value"
"1","Gammaproteobacteria","22-1",42.146887614108
"2","Alphaproteobacteria","22-1",9.40114923054501
"3","Acidobacteriota","22-1",0.869690444392372
"4","Actinobacteriota","22-1",1.45727145095158
"5","Bacteroidota","22-1",10.1625050222181
"6","Chloroflexi","22-1",0.137366680195032
"7","Firmicutes","22-1",1.23772012962779
"8","Myxococcota","22-1",17.3238381913255
"9","Spirochaetota","22-1",10.0770006419199
"10","Others","22-1",7.18657059471674
"11","Gammaproteobacteria","5-7",46.7152061431391
"12","Alphaproteobacteria","5-7",13.3053472844124
"13","Acidobacteriota","5-7",0.598349329545818
"14","Actinobacteriota","5-7",2.78070929181042
"15","Bacteroidota","5-7",10.1597602362556
"16","Chloroflexi","5-7",0.218313098680257
"17","Firmicutes","5-7",2.31878994429671
"18","Myxococcota","5-7",11.3182725312925
"19","Spirochaetota","5-7",6.7558242501498
"20","Others","5-7",5.82942789041737
"21","Gammaproteobacteria","9-1",47.3945487543466
"22","Alphaproteobacteria","9-1",9.33998604843855
"23","Acidobacteriota","9-1",0.512708594031857
"24","Actinobacteriota","9-1",2.29366515645048
"25","Bacteroidota","9-1",12.1622258867909
"26","Chloroflexi","9-1",0.212853358863136
"27","Firmicutes","9-1",1.71853567566638
"28","Myxococcota","9-1",14.8675982739934
"29","Spirochaetota","9-1",7.23992710393156
"30","Others","9-1",4.25795114748714
"31","Gammaproteobacteria","BS",17.7321891111206
"32","Alphaproteobacteria","BS",9.29651980994709
"33","Acidobacteriota","BS",4.8587321450346
"34","Actinobacteriota","BS",13.9129318164556
"35","Bacteroidota","BS",4.57451006322805
"36","Chloroflexi","BS",7.876810902801
"37","Firmicutes","BS",3.24840913769261
"38","Myxococcota","BS",4.39631020192777
"39","Spirochaetota","BS",1.83807288861388
"40","Others","BS",32.2655139231788
"41","Gammaproteobacteria","WT",46.874315094687
"42","Alphaproteobacteria","WT",13.7420751631367
"43","Acidobacteriota","WT",0.751807051095668
"44","Actinobacteriota","WT",2.71317959990851
"45","Bacteroidota","WT",8.74897136465514
"46","Chloroflexi","WT",0.498845749979358
"47","Firmicutes","WT",1.65736481739362
"48","Myxococcota","WT",11.9575632652683
"49","Spirochaetota","WT",6.93504486057761
"50","Others","WT",6.12083303329815
