"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_1",10377,4506,6029,3352,1515,7680,2531,4545,8797,2499,1702,2888,5982,5188,2107,5215,2192,3199,14869,14374,9484,25555,2948,1634,3968,2615,0,0,0,0,0
"ASV_2",1015,3907,4385,4837,995,4114,5306,3297,6209,3854,4161,8674,1990,2134,1117,8045,5496,3795,2922,6803,7739,2134,2570,5288,4174,4656,89,0,0,61,0
"ASV_3",2378,3291,3475,2483,1312,2905,1916,6276,7273,4620,1367,2454,2216,1851,1255,2654,1009,1568,3356,3929,4215,2349,1070,3812,2467,1123,435,613,262,393,208
"ASV_4",2275,2266,2995,5082,1231,3080,3266,3589,3066,748,1039,3022,2514,1848,1223,8981,732,1528,1081,5818,6867,4084,1046,610,3553,838,38,0,12,32,74
"ASV_5",1025,2801,2315,2401,1386,2346,2026,2350,5544,1963,1780,2309,1037,1945,1105,1811,1620,1256,2226,2080,3177,1521,472,2149,1633,959,0,0,0,0,0
"ASV_6",1326,2725,1656,1724,1256,2197,1441,2555,4679,3726,897,1914,1338,1331,650,1021,615,1025,1627,1792,2950,912,642,3494,3028,517,98,145,80,178,227
"ASV_7",2958,1590,1071,1281,819,3301,768,2923,2617,736,506,1045,2009,1930,2678,1702,519,710,12535,3176,4595,2905,111,202,1172,763,0,0,0,0,0
"ASV_8",900,1288,1008,828,811,721,323,510,3127,1087,881,481,739,1303,1163,828,525,1411,4251,4849,2653,3797,661,665,2320,1174,89,87,52,90,145
"ASV_9",3312,381,737,1061,937,899,2895,7533,0,0,308,1039,3500,2044,564,4674,809,1650,905,3803,1532,4913,209,155,1179,111,0,0,0,0,0
"ASV_10",87,791,624,709,1003,530,1793,279,2507,1433,1303,2311,569,781,784,785,471,1075,1218,1380,1234,695,582,1508,293,447,333,362,261,360,284
"ASV_11",910,776,738,655,798,671,702,1811,1967,1189,367,729,826,692,615,858,343,629,886,1131,1027,655,379,1336,769,351,0,0,0,0,0
"ASV_12",2182,216,81,725,1377,1677,605,1798,944,574,71,1379,1136,1606,1797,3446,415,1018,2020,2251,383,414,581,286,697,1422,0,0,0,0,0
"ASV_13",81,72,86,106,337,118,212,138,226,134,78,86,151,154,270,407,79,208,351,462,394,379,409,370,439,1036,12376,4623,4363,4401,1273
"ASV_14",405,600,494,910,783,896,584,475,2365,1291,525,952,987,950,759,517,774,1116,912,1813,1516,930,516,910,892,362,0,0,0,0,0
"ASV_15",2037,2570,535,3168,176,192,36,1841,2494,0,0,0,0,2045,347,290,0,0,0,0,21,1161,2354,1519,9,0,0,0,0,0,0
"ASV_16",1023,12,535,1640,464,175,71,3320,0,44,25,0,0,964,917,607,55,78,0,29,31,1361,6035,3883,31,119,0,0,0,0,0
"ASV_17",68,539,371,443,132,327,318,239,1314,568,656,1226,550,368,241,734,739,1027,861,2475,2166,1114,647,1067,1926,1411,0,0,0,0,32
"ASV_18",413,0,135,1618,152,219,11,1514,0,0,0,29,25,361,831,10622,0,37,0,0,34,65,207,1038,0,0,0,0,0,0,0
"ASV_19",295,447,342,533,1000,413,227,411,1205,862,368,765,653,392,630,274,353,658,1326,1774,1267,1116,346,416,770,325,12,31,8,40,26
"ASV_20",146,639,1155,494,982,410,930,68,2121,710,855,954,440,564,414,2880,1005,599,521,1964,901,47,317,673,64,62,31,0,0,24,0
"ASV_21",299,1725,59,982,1389,560,534,454,2145,537,0,287,273,333,650,252,346,171,162,1032,460,194,1785,642,118,77,0,0,0,0,0
"ASV_22",72,349,126,988,1343,899,520,0,1797,773,686,351,595,580,719,164,103,1175,366,754,666,1192,195,333,30,138,0,0,0,0,0
"ASV_23",264,272,384,724,550,493,651,323,1067,1169,344,522,422,693,483,415,693,806,322,1119,925,857,143,387,505,215,0,0,0,0,0
"ASV_24",331,143,113,446,464,305,97,70,366,207,117,112,179,508,584,681,502,896,367,1931,1485,827,385,61,157,247,111,205,66,121,116
"ASV_25",516,352,245,892,524,346,99,605,620,114,181,478,450,316,981,3187,198,525,91,538,422,655,637,598,180,84,0,0,0,0,0
"ASV_26",1191,40,412,1803,0,162,63,234,22,0,0,0,65,1437,983,389,20,59,0,0,73,728,1438,650,14,22,0,0,11,0,0
"ASV_27",1233,10,85,1195,0,74,66,4139,5,0,0,0,0,962,783,240,0,0,0,0,55,284,2318,1113,16,21,6,0,0,0,0
"ASV_28",178,268,209,776,81,881,3591,400,142,64,158,941,86,293,146,2576,969,759,0,128,256,0,209,108,391,65,0,0,0,0,0
"ASV_29",448,330,63,806,761,691,553,1064,245,0,68,63,100,779,767,983,121,335,60,431,207,445,2164,934,145,912,0,0,0,0,0
"ASV_30",65,461,185,1430,670,539,1525,31,872,1281,150,3186,191,964,243,46,142,387,257,150,87,0,178,480,133,77,0,0,0,0,0
"ASV_31",712,19,0,1041,1469,1608,2198,348,31,0,0,0,32,121,285,721,41,52,71,1837,71,28,22,1601,391,71,0,0,0,8,0
"ASV_32",472,207,0,0,0,189,395,1785,4142,0,0,0,0,0,71,0,0,0,0,547,2510,403,0,0,0,0,0,0,0,0,0
"ASV_33",289,197,133,548,728,285,102,110,357,291,120,179,137,407,376,498,331,711,348,1271,627,615,264,205,233,249,84,163,90,95,0
"ASV_34",86,66,43,122,165,70,70,106,197,124,47,73,94,126,186,161,59,223,175,401,209,161,148,122,180,387,3713,2760,2295,1743,1076
"ASV_35",302,286,214,715,793,264,152,223,221,233,113,202,155,364,450,742,376,460,174,974,707,663,284,425,155,354,191,218,159,262,197
"ASV_36",536,300,216,287,501,329,145,135,1017,419,263,94,307,579,627,177,361,405,751,764,676,814,120,165,257,76,45,0,0,42,0
