"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_1",6910,3309,4504,1143,529,4425,1467,2171,2898,1648,1679,1413,3747,2382,1092,1656,1716,1871,6427,3795,3006,8400,1426,776,2968,2166,0,0,0,0,0
"ASV_2",675,2940,3309,1651,322,2232,3016,1565,2028,2605,4182,4181,1200,968,515,2535,4510,2270,1280,1793,2401,697,1228,2313,3119,3912,22,0,0,21,0
"ASV_3",1525,2403,2612,898,436,1539,1148,2864,2346,3066,1357,1123,1401,846,597,864,844,934,1402,1085,1344,768,487,1652,1840,933,95,155,92,129,105
"ASV_4",1541,1674,2208,1764,413,1773,1921,1720,973,559,950,1516,1589,838,587,2857,597,863,453,1571,2155,1357,499,287,2637,710,13,0,4,7,32
"ASV_5",660,2000,1795,818,467,1296,1153,1079,1889,1280,1814,1140,673,851,529,579,1309,736,974,537,1013,506,228,1020,1197,769,0,0,0,0,0
"ASV_6",896,1981,1249,618,415,1199,867,1163,1519,2452,888,923,792,623,338,305,521,614,700,461,935,274,317,1542,2276,439,26,35,39,61,98
"ASV_7",2029,1156,804,424,238,1834,419,1342,868,501,501,490,1195,875,1287,526,461,439,5296,834,1478,946,51,86,864,646,0,0,0,0,0
"ASV_8",601,940,787,266,273,378,169,237,1045,754,862,211,459,586,581,243,451,798,1826,1286,810,1226,304,340,1720,948,19,25,18,26,58
"ASV_9",2244,280,527,359,321,506,1629,3435,0,0,314,505,2136,915,290,1446,681,959,372,1037,476,1663,92,71,854,88,0,0,0,0,0
"ASV_10",51,593,415,212,342,313,1050,150,793,929,1320,1141,370,356,372,227,390,630,544,360,372,211,249,719,242,404,83,96,94,123,130
"ASV_11",590,572,538,226,258,373,399,787,630,842,364,317,513,332,292,271,309,372,371,299,298,193,161,622,560,295,0,0,0,0,0
"ASV_12",1476,168,62,252,484,914,361,866,300,394,74,686,677,727,932,1103,352,583,886,607,112,151,271,133,533,1259,0,0,0,0,0
"ASV_13",61,52,65,42,124,71,126,67,74,79,78,51,84,63,148,146,71,121,141,141,142,122,204,174,343,871,3108,1226,1543,1398,538
"ASV_14",276,438,386,292,297,499,335,202,697,913,535,440,648,424,340,184,695,689,371,504,447,279,249,428,675,298,0,0,0,0,0
"ASV_15",1363,1901,377,1080,65,106,27,895,786,0,0,0,0,926,171,90,0,0,0,0,12,401,1126,727,1,0,0,0,0,0,0
"ASV_16",688,8,413,550,157,79,56,1470,0,30,23,0,0,436,447,222,53,38,0,8,10,447,2815,1786,18,91,0,0,0,0,0
"ASV_17",40,414,280,144,55,170,187,116,475,349,635,590,343,168,119,201,592,604,363,688,652,366,302,495,1405,1161,0,0,0,0,17
"ASV_18",288,0,109,556,46,90,5,704,0,0,0,15,20,161,430,3404,0,23,0,0,11,30,81,472,0,0,0,0,0,0,0
"ASV_19",198,321,260,182,330,238,124,180,426,561,343,392,404,174,283,84,289,392,597,480,420,403,155,195,582,260,3,7,3,15,12
"ASV_20",92,417,883,167,354,216,544,35,644,445,799,481,272,266,201,912,883,359,232,541,275,19,139,301,51,66,9,0,0,7,0
"ASV_21",216,1298,45,322,467,306,322,208,702,362,0,134,152,132,322,90,261,104,66,283,119,49,882,301,83,65,0,0,0,0,0
"ASV_22",48,258,83,348,450,516,327,0,575,507,660,193,338,266,373,56,81,675,162,178,211,396,87,154,21,112,0,0,0,0,0
"ASV_23",171,208,274,215,174,287,370,160,337,758,319,247,259,304,226,126,602,440,142,334,299,293,67,188,395,168,0,0,0,0,0
"ASV_24",231,98,79,166,166,158,59,28,103,152,122,60,109,225,280,224,399,557,155,538,444,302,179,31,97,230,21,52,31,35,55
"ASV_25",314,248,190,313,176,200,67,281,195,76,194,243,287,135,470,1001,173,319,43,138,127,209,269,277,118,68,0,0,0,0,0
"ASV_26",867,29,298,678,0,88,44,124,5,0,0,0,54,657,484,114,15,31,0,0,20,247,668,277,11,13,0,0,6,0,0
"ASV_27",840,8,63,404,0,40,44,1918,2,0,0,0,0,428,385,73,0,0,0,0,20,116,1066,483,13,13,2,0,0,0,0
"ASV_28",119,203,163,289,23,543,2056,191,51,44,154,450,46,126,78,855,800,468,0,38,95,0,97,53,302,49,0,0,0,0,0
"ASV_29",287,230,54,295,253,375,302,478,67,0,71,24,78,350,380,302,99,198,29,113,72,132,1008,395,119,735,0,0,0,0,0
"ASV_30",43,345,147,467,228,313,862,15,273,798,132,1566,123,451,103,13,133,246,122,43,27,0,90,201,95,61,0,0,0,0,0
"ASV_31",468,13,0,363,529,886,1313,153,8,0,0,0,19,45,143,221,29,23,20,476,19,2,8,709,296,60,0,0,0,1,0
"ASV_32",339,134,0,0,0,100,212,834,1351,0,0,0,0,0,33,0,0,0,0,136,730,126,0,0,0,0,0,0,0,0,0
"ASV_33",166,126,88,165,256,160,49,55,139,194,125,108,94,179,171,151,270,394,158,337,190,221,140,101,170,199,32,48,42,30,0
"ASV_34",56,49,28,36,59,48,39,39,74,90,63,34,55,66,95,48,51,127,66,98,59,49,74,59,162,306,954,779,866,565,427
"ASV_35",223,214,162,245,304,168,83,119,53,156,99,94,92,148,211,251,298,271,66,267,228,219,137,197,117,287,48,61,71,100,79
"ASV_36",322,253,167,91,175,171,105,63,346,262,273,41,158,234,304,67,276,261,314,227,204,274,57,86,208,57,7,0,0,16,0
"ASV_37",173,196,234,74,178,134,101,73,210,386,298,175,237,308,221,95,215,305,176,264,231,329,44,53,152,86,3,2,0,8,0
"ASV_38",360,212,273,140,172,180,140,292,295,357,250,235,225,157,143,74,184,163,164,292,187,228,42,101,148,54,16,30,0,33,0
"ASV_39",107,327,297,148,131,124,234,119,216,366,209,329,125,54,106,22,96,161,113,96,207,55,26,340,1142,145,0,0,0,0,0
"ASV_40",71,117,206,176,144,243,242,134,251,365,359,277,112,188,196,32,335,600,84,129,159,242,38,90,201,38,94,83,77,90,92
"ASV_41",67,0,0,78,31,88,0,0,0,0,0,0,0,35,337,2426,0,0,0,0,0,15,88,299,0,0,0,0,0,0,0
"ASV_42",11,208,262,204,109,182,286,13,247,192,458,1040,152,262,92,66,175,109,262,249,282,43,138,255,132,89,0,0,0,0,0
"ASV_43",120,0,49,80,206,64,306,561,17,0,0,0,0,53,484,936,0,87,0,0,47,78,588,805,368,257,27,0,0,0,0
"ASV_44",37,392,152,107,197,166,270,6,166,399,325,480,312,446,0,29,243,297,189,70,130,18,128,257,61,282,0,0,0,1,0
"ASV_45",134,28,251,570,87,137,68,266,16,91,0,93,10,333,154,50,76,26,0,114,6,245,842,337,0,34,0,0,0,0,0
"ASV_46",28,31,11,7,0,0,18,7,28,19,19,7,0,5,0,11,14,0,25,11,14,19,48,35,95,193,1239,634,1017,704,444
"ASV_47",34,18,0,13,36,0,35,15,17,36,0,14,17,27,23,13,0,36,27,27,13,34,46,35,83,193,1178,631,800,706,391
"ASV_48",117,140,168,180,248,363,368,89,196,44,281,232,409,442,157,104,163,385,101,119,207,146,20,41,82,184,0,0,0,0,0
"ASV_49",557,23,247,196,0,0,18,55,0,0,0,0,0,689,392,41,0,0,0,0,0,143,529,223,0,0,0,0,0,0,0
"ASV_50",10,253,635,114,85,89,219,8,294,243,577,429,296,140,169,39,43,514,85,214,233,95,191,226,21,28,0,0,0,14,0
"ASV_51",324,118,111,120,125,152,54,387,202,262,131,27,169,113,193,52,102,178,366,355,103,200,51,62,134,67,20,38,6,12,0
"ASV_52",67,0,161,729,25,166,22,261,0,0,0,0,87,525,186,138,0,0,0,0,0,118,569,527,0,0,0,0,0,0,0
"ASV_53",303,156,292,170,203,338,205,219,122,41,171,50,305,99,377,304,109,72,75,182,289,186,20,24,138,85,0,0,0,0,0
"ASV_54",67,0,51,360,95,23,260,276,18,24,0,4,0,69,79,20,346,0,926,2,6,40,123,233,716,1630,0,0,0,0,0
"ASV_55",87,56,45,229,66,374,358,0,104,100,324,106,77,120,16,43,162,53,67,125,665,35,270,271,134,290,0,0,0,2,0
"ASV_56",48,93,176,184,247,443,571,32,204,345,227,871,29,117,31,29,329,38,143,151,49,2,146,335,123,119,0,0,0,0,0
"ASV_57",25,198,86,152,132,68,46,33,200,54,293,114,193,109,136,99,132,100,76,298,295,64,98,110,127,77,0,0,0,0,0
"ASV_58",90,289,180,174,208,157,329,131,223,267,252,195,114,158,147,73,183,94,186,72,144,50,23,121,179,113,0,0,0,0,0
"ASV_59",75,8,33,277,246,37,0,43,0,0,0,0,14,103,151,1138,15,39,0,6,0,8,423,506,0,0,0,0,0,0,0
"ASV_60",65,0,71,121,60,0,0,247,0,0,0,0,8,0,223,2107,13,22,0,0,0,0,187,433,0,0,0,0,0,0,0
"ASV_61",126,0,468,213,0,140,27,381,0,0,0,0,0,336,200,41,0,0,0,0,0,212,2003,310,0,133,0,0,0,0,0
"ASV_62",27,77,119,207,89,46,77,20,216,141,365,160,102,164,160,76,273,346,131,270,184,174,83,89,128,42,0,0,0,0,0
"ASV_63",47,252,246,158,266,169,423,66,240,176,261,244,121,212,219,101,140,259,112,195,132,40,95,182,33,75,11,10,15,27,17
"ASV_64",150,258,13,99,251,74,149,29,83,52,117,119,32,86,89,605,44,267,35,99,42,160,376,361,47,249,0,0,0,0,0
