"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1","ASV_1",0.838709677419355,0.0436873552058039,-1.35964424630194,"Retain","Retain","Retain","Both_Pass"
"ASV_2","ASV_2",0.903225806451613,0.0343930369938018,-1.46352947316273,"Retain","Retain","Retain","Both_Pass"
"ASV_3","ASV_3",1,0.0221662029626033,-1.6543086945093,"Retain","Retain","Retain","Both_Pass"
"ASV_4","ASV_4",0.967741935483871,0.0201566526037034,-1.69558158911369,"Retain","Retain","Retain","Both_Pass"
"ASV_5","ASV_5",0.838709677419355,0.015685730734014,-1.80449524449204,"Retain","Retain","Retain","Both_Pass"
"ASV_6","ASV_6",1,0.0147333758623558,-1.83169773174434,"Retain","Retain","Retain","Both_Pass"
"ASV_7","ASV_7",0.838709677419355,0.01530498359575,-1.81516713155368,"Retain","Retain","Retain","Both_Pass"
"ASV_8","ASV_8",1,0.0109432579622845,-1.96085336315785,"Retain","Retain","Retain","Both_Pass"
"ASV_9","ASV_9",0.774193548387097,0.012621971074975,-1.89887281940709,"Retain","Retain","Discard","Only_RA_pass"
"ASV_10","ASV_10",1,0.00787582822329588,-2.10370376466295,"Retain","Retain","Retain","Both_Pass"
"ASV_11","ASV_11",0.838709677419355,0.00649608047787735,-2.18734860339718,"Retain","Retain","Retain","Both_Pass"
"ASV_12","ASV_12",0.838709677419355,0.00831031209381368,-2.08038266597811,"Retain","Retain","Retain","Both_Pass"
"ASV_13","ASV_13",1,0.00638990285952876,-2.19450574401551,"Retain","Retain","Retain","Both_Pass"
"ASV_14","ASV_14",0.838709677419355,0.00682679497928538,-2.16578313958307,"Retain","Retain","Retain","Both_Pass"
"ASV_15","ASV_15",0.548387096774194,0.00591288308855801,-2.22820070792734,"Retain","Retain","Discard","Only_RA_pass"
"ASV_16","ASV_16",0.709677419354839,0.00580380056237172,-2.23628751976111,"Retain","Retain","Discard","Only_RA_pass"
"ASV_17","ASV_17",0.870967741935484,0.00658953724949997,-2.18114508268142,"Retain","Retain","Retain","Both_Pass"
"ASV_18","ASV_18",0.548387096774194,0.00369738937237705,-2.43210481143112,"Retain","Retain","Discard","Only_RA_pass"
"ASV_19","ASV_19",1,0.00489811689999017,-2.30997085407965,"Retain","Retain","Retain","Both_Pass"
"ASV_20","ASV_20",0.903225806451613,0.00572791645363592,-2.24200332519558,"Retain","Retain","Retain","Both_Pass"
"ASV_21","ASV_21",0.806451612903226,0.00429511776221006,-2.36702492431775,"Retain","Retain","Retain","Both_Pass"
"ASV_22","ASV_22",0.806451612903226,0.00418282103398199,-2.37853071672867,"Retain","Retain","Retain","Both_Pass"
