diff	lwr	upr	p adj	group
Line9-1-Line22-1	1.16666666666652	-305.94092908204	308.274262415373	1	Observed
Line22-3-Line22-1	3.99999999999989	-303.107595748707	311.107595748706	0.999999999985896	Observed
Line5-7-Line22-1	32.4999999999998	-274.607595748707	339.607595748706	0.999969997454127	Observed
Line5-2-Line22-1	34.1666666666666	-309.19006358365	377.523396916983	0.999980278380578	Observed
Line49-3-Line22-1	150.466666666666	-171.630497094839	472.563830428172	0.803972463295605	Observed
WT-Line22-1	281.666666666666	-5.60618437521686	568.93951770855	0.058048773663832	Observed
BS-Line22-1	635.866666666666	313.769502905161	957.963830428172	5.30939411880205e-06	Observed
Line22-3-Line9-1	2.83333333333337	-304.274262415373	309.94092908204	0.999999999998832	Observed
Line5-7-Line9-1	31.3333333333333	-275.774262415373	338.44092908204	0.999976610374389	Observed
Line5-2-Line9-1	33.0000000000001	-310.356730250316	376.356730250317	0.999984445605069	Observed
Line49-3-Line9-1	149.3	-172.797163761505	471.397163761505	0.809989055775745	Observed
WT-Line9-1	280.5	-6.77285104188337	567.772851041883	0.0598604952529919	Observed
BS-Line9-1	634.7	312.602836238494	956.797163761505	5.50540621779838e-06	Observed
Line5-7-Line22-3	28.4999999999999	-278.607595748707	335.607595748706	0.999987761258549	Observed
Line5-2-Line22-3	30.1666666666667	-313.19006358365	373.523396916983	0.999991591166618	Observed
Line49-3-Line22-3	146.466666666667	-175.630497094839	468.563830428172	0.824230180658992	Observed
WT-Line22-3	277.666666666667	-9.60618437521674	564.93951770855	0.0644682234075143	Observed
BS-Line22-3	631.866666666666	309.769502905161	953.963830428172	6.01214147322171e-06	Observed
Line5-2-Line5-7	1.66666666666686	-341.69006358365	345.023396916983	1	Observed
Line49-3-Line5-7	117.966666666667	-204.130497094839	440.063830428172	0.93443319229966	Observed
WT-Line5-7	249.166666666667	-38.1061843752166	536.43951770855	0.130457526375762	Observed
BS-Line5-7	603.366666666667	281.269502905161	925.463830428172	1.45803386325527e-05	Observed
Line49-3-Line5-2	116.3	-240.526781148562	473.126781148562	0.96407208453308	Observed
WT-Line5-2	247.5	-78.2367952617112	573.236795261711	0.254166846731416	Observed
BS-Line5-2	601.7	244.873218851438	958.526781148562	9.41793528056456e-05	Observed
WT-Line49-3	131.2	-172.044453341503	434.444453341503	0.857513909210886	Observed
BS-Line49-3	485.4	148.980484454511	821.819515545488	0.00101511566374968	Observed
BS-WT	354.2	50.9555466584967	657.444453341503	0.0125806105925861	Observed
Line49-3-Line22-11	0.13112429979799	-0.49744343433714	0.759692033933119	0.997370527572999	Shannon
Line5-7-Line22-11	0.231465777419719	-0.367850041884997	0.830781596724434	0.915069829943843	Shannon
