Seq_ID	Line	genotype	compartment
YR_1_1	Line5-7	OsCP14/19	Root
YR_1_2	Line5-7	OsCP14/19	Root
YR_1_3	Line5-7	OsCP14/19	Root
YR_1_14	Line5-2	OsCP14/19	Root
YR_1_15	Line5-2	OsCP14/19	Root
YR_1_16	Line5-2	OsCP14/19	Root
YR_2_15	Line5-2	OsCP14/19	Root
YR_2_16	Line5-2	OsCP14/19	Root
YR_3_1	Line5-2	OsCP14/19	Root
YR_3_2	Line5-7	OsCP14/19	Root
YR_3_3	Line5-7	OsCP14/19	Root
YR_3_4	Line5-7	OsCP14/19	Root
YR_1_4	Line22-1	OsCP16	Root
YR_1_5	Line22-1	OsCP16	Root
YR_1_6	Line22-1	OsCP16	Root
YR_2_6	Line22-1	OsCP16	Root
YR_2_7	Line22-1	OsCP16	Root
YR_2_8	Line22-1	OsCP16	Root
YR_2_9	Line22-3	OsCP16	Root
YR_2_10	Line22-3	OsCP16	Root
YR_2_11	Line22-3	OsCP16	Root
YR_3_5	Line22-3	OsCP16	Root
YR_3_6	Line22-3	OsCP16	Root
YR_3_7	Line22-3	OsCP16	Root
YR_1_7	Line49-3	OsCP25	Root
YR_1_8	Line49-3	OsCP25	Root
YR_1_9	Line49-3	OsCP25	Root
YR_1_17	Line9-1	OsCP25	Root
YR_2_1	Line9-1	OsCP25	Root
YR_2_2	Line9-1	OsCP25	Root
YR_2_3	Line9-1	OsCP25	Root
YR_2_4	Line9-1	OsCP25	Root
YR_2_5	Line9-1	OsCP25	Root
YR_2_12	Line49-3	OsCP25	Root
YR_2_13	Line49-3	OsCP25	Root
YR_2_14	Line49-3	OsCP25	Root
YR_3_8	WT	WT	Root
YR_3_9	WT	WT	Root
YR_3_10	WT	WT	Root
YR_3_11	WT	WT	Root
YR_1_10	WT	WT	Root
YR_1_11	WT	WT	Root
YR_1_12	WT	WT	Root
YR_1_13	WT	WT	Root
YR_3_12	BS	Soil	Soil
YR_3_13	BS	Soil	Soil
YR_3_14	BS	Soil	Soil
YR_3_15	BS	Soil	Soil
YR_3_16	BS	Soil	Soil
