"","GeneID","Cluster","ComparisonGroup"
"1","LOC112937872","cluster2","Group1"
"2","LOC4336055","cluster2","Group1"
"3","LOC9266359","cluster2","Group1"
"4","LOC107278715","cluster2","Group1"
"5","LOC107276866","cluster2","Group1"
"6","LOC4344374","cluster2","Group1"
"7","LOC4343616","cluster2","Group1"
"8","LOC4332804","cluster2","Group1"
"9","LOC4326528","cluster2","Group1"
"10","LOC9271266","cluster2","Group1"
"11","LOC4326672","cluster2","Group1"
"12","LOC4331501","cluster2","Group1"
"13","LOC4347129","cluster2","Group1"
"14","LOC107276330","cluster2","Group1"
"15","LOC4323912","cluster2","Group1"
"16","LOC9270601","cluster2","Group1"
"17","LOC4345978","cluster2","Group1"
"18","LOC4351494","cluster2","Group1"
"19","LOC4331137","cluster2","Group1"
"20","LOC4347618","cluster2","Group1"
"21","LOC4340108","cluster2","Group1"
"22","LOC4336080","cluster2","Group1"
"23","LOC4323875","cluster2","Group1"
"24","LOC4326920","cluster2","Group1"
"25","LOC4325326","cluster2","Group1"
"26","LOC4337936","cluster2","Group1"
"27","LOC4339451","cluster2","Group1"
"28","LOC9271394","cluster2","Group1"
"29","LOC4344487","cluster2","Group1"
"30","LOC107277150","cluster2","Group1"
"31","LOC4335647","cluster2","Group1"
"32","LOC9267903","cluster2","Group1"
"33","LOC9270090","cluster2","Group1"
"34","LOC4333539","cluster2","Group1"
"35","LOC9266699","cluster2","Group1"
"36","LOC112939299","cluster2","Group1"
"37","LOC4339096","cluster2","Group1"
"38","LOC9269437","cluster2","Group1"
"39","LOC107276807","cluster2","Group1"
"40","LOC4351817","cluster2","Group1"
"41","LOC4324560","cluster2","Group1"
"42","LOC4338108","cluster2","Group1"
"43","LOC4326790","cluster2","Group1"
"44","LOC107281456","cluster2","Group1"
"45","LOC4349605","cluster2","Group1"
"46","LOC4326725","cluster2","Group1"
"47","LOC4331496","cluster2","Group1"
"48","LOC4325662","cluster2","Group1"
"49","LOC4331833","cluster2","Group1"
"50","LOC4327292","cluster2","Group1"
"51","LOC4333121","cluster2","Group1"
"52","LOC107281790","cluster2","Group1"
"53","LOC9269686","cluster2","Group1"
"54","LOC4342615","cluster2","Group1"
"55","LOC4328841","cluster2","Group1"
"56","LOC4325015","cluster2","Group1"
"57","LOC4339955","cluster2","Group1"
"58","LOC107278321","cluster2","Group1"
"59","LOC4345722","cluster2","Group1"
"60","LOC9269343","cluster2","Group1"
"61","LOC4347620","cluster2","Group1"
"62","LOC107279433","cluster2","Group1"
"63","LOC4345661","cluster2","Group1"
"64","LOC107276668","cluster2","Group1"
"65","LOC4351394","cluster2","Group1"
"66","LOC4331951","cluster2","Group1"
"67","LOC4324183","cluster2","Group1"
"68","LOC4351038","cluster2","Group1"
"69","LOC4348540","cluster2","Group1"
"70","LOC4346484","cluster2","Group1"
"71","LOC4352715","cluster2","Group1"
